sample_id,doc_id,sample_type,source_domain,source_type,publish_date,text,pseudo_label,label_name,label_conf,severity,split,conformal_role,need_human_review,sample_published_at,sample_publish_time_source,sample_publish_time_conf,sample_ts_hour,event_published_at,event_start_time,event_time_source,event_time_confidence
ZZM_CN_f9e7ff7e55a8_CHUNK_3_c0955e1aed,ZZM_CN_f9e7ff7e55a8,CHUNK_3,zzmetro.cn,zzmetro_cn_news,2025-12-15,发布时间: 2025-12-15 17:05,0,normal_info,0.0,0,unassigned,unassigned,1,2025-12-15 17:05:00,page_publish_time,0.85,2025-12-15 17:00:00,2025-12-15 17:05:00,2025-12-15 17:05:00,proxy_page_publish_time,0.55
ZZM_CN_c0dc1ade6915_TITLE_942ffc0454,ZZM_CN_c0dc1ade6915,TITLE,zzmetro.cn,zzmetro_cn_news,2025-10-09,喜报！会展中心站青年集体荣获2025年河南省青年五四奖 以青春之名筑梦，用实干之姿建功。近日，河南省总工会、共青团河南省委等多部门联合下发《关于表彰2025年河南省群团工作领域先进典型的决定》，郑州地铁会展中心站青年集体荣获2025年河南省青年五四奖。... 以青春之名筑梦，用实干之姿建功。近日，河南省总工会、共青团河南省委等多部门联合下发《关于表彰2025年河南省群团工作领域先进典型的决定》，郑,0,normal_info,0.4,0,unassigned,unassigned,0,2025-10-09 09:00:00,publish_date_only,0.35,2025-10-09 09:00:00,2025-10-09 10:12:00,2025-10-09 10:12:00,proxy_page_publish_time,0.55
ZZM_CN_c0dc1ade6915_TITLE_LEAD_d8dae3dd29,ZZM_CN_c0dc1ade6915,TITLE_LEAD,zzmetro.cn,zzmetro_cn_news,2025-10-09,"喜报！会展中心站青年集体荣获2025年河南省青年五四奖 以青春之名筑梦，用实干之姿建功。近日，河南省总工会、共青团河南省委等多部门联合下发《关于表彰2025年河南省群团工作领域先进典型的决定》，郑州地铁会展中心站青年集体荣获2025年河南省青年五四奖。... 以青春之名筑梦，用实干之姿建功。近日，河南省总工会、共青团河南省委等多部门联合下发《关于表彰2025年河南省群团工作领域先进典型的决定》，郑
喜报！会展中心站青年集体荣获2025年河南省青年五四奖
阅读次数: 1964
发布时间: 2025-10-09 10:12",0,normal_info,0.4,0,unassigned,unassigned,0,2025-10-09 10:12:00,page_publish_time,0.85,2025-10-09 10:00:00,2025-10-09 10:12:00,2025-10-09 10:12:00,proxy_page_publish_time,0.55
ZZM_CN_c0dc1ade6915_CHUNK_1_3c9da0c02b,ZZM_CN_c0dc1ade6915,CHUNK_1,zzmetro.cn,zzmetro_cn_news,2025-10-09,喜报！会展中心站青年集体荣获2025年河南省青年五四奖,0,normal_info,0.2,0,unassigned,unassigned,0,2025-10-09 09:00:00,publish_date_only,0.35,2025-10-09 09:00:00,2025-10-09 10:12:00,2025-10-09 10:12:00,proxy_page_publish_time,0.55
ZZM_CN_c0dc1ade6915_CHUNK_3_1a12d9f886,ZZM_CN_c0dc1ade6915,CHUNK_3,zzmetro.cn,zzmetro_cn_news,2025-10-09,发布时间: 2025-10-09 10:12,0,normal_info,0.0,0,unassigned,unassigned,1,2025-10-09 10:12:00,page_publish_time,0.85,2025-10-09 10:00:00,2025-10-09 10:12:00,2025-10-09 10:12:00,proxy_page_publish_time,0.55
ZZM_CN_0143de7bfa88_TITLE_d7aedc2207,ZZM_CN_0143de7bfa88,TITLE,zzmetro.cn,zzmetro_cn_news,2025-09-05,从地铁车站到天安门广场：退役士兵春孝勇的预备役风采——郑州地铁站务员以预备役身份参加抗战胜利80周年阅兵纪实 9月3日上午，纪念中国人民抗日战争暨世界反法西斯战争胜利80周年大会在北京天安门广场隆重举行。春孝勇，从空降兵某部退役后成为郑州地铁站务员，这次以军人姿态再次踏上阅兵场。这是他第三次参加阅兵活动，也是第一次以预备役部队方队队员身份接受检阅。... 9月3日上午，纪念中国人民抗日战争暨世界反,0,normal_info,0.0,0,unassigned,unassigned,1,2025-09-05 09:00:00,publish_date_only,0.35,2025-09-05 09:00:00,2025-09-05 17:16:00,2025-09-05 17:16:00,proxy_page_publish_time,0.55
ZZM_CN_0143de7bfa88_TITLE_LEAD_39bd9454ab,ZZM_CN_0143de7bfa88,TITLE_LEAD,zzmetro.cn,zzmetro_cn_news,2025-09-05,"从地铁车站到天安门广场：退役士兵春孝勇的预备役风采——郑州地铁站务员以预备役身份参加抗战胜利80周年阅兵纪实 9月3日上午，纪念中国人民抗日战争暨世界反法西斯战争胜利80周年大会在北京天安门广场隆重举行。春孝勇，从空降兵某部退役后成为郑州地铁站务员，这次以军人姿态再次踏上阅兵场。这是他第三次参加阅兵活动，也是第一次以预备役部队方队队员身份接受检阅。... 9月3日上午，纪念中国人民抗日战争暨世界反
从地铁车站到天安门广场：退役士兵春孝勇的预备役风采——郑州地铁站务员以预备役身份参加抗战胜利80周年阅兵纪实
阅读次数: 3053
发布时间: 2025-09-05 17:16",0,normal_info,0.0,0,unassigned,unassigned,1,2025-09-05 17:16:00,page_publish_time,0.85,2025-09-05 17:00:00,2025-09-05 17:16:00,2025-09-05 17:16:00,proxy_page_publish_time,0.55
ZZM_CN_0143de7bfa88_CHUNK_1_aae74635a5,ZZM_CN_0143de7bfa88,CHUNK_1,zzmetro.cn,zzmetro_cn_news,2025-09-05,从地铁车站到天安门广场：退役士兵春孝勇的预备役风采——郑州地铁站务员以预备役身份参加抗战胜利80周年阅兵纪实,0,normal_info,0.0,0,unassigned,unassigned,1,2025-09-05 09:00:00,publish_date_only,0.35,2025-09-05 09:00:00,2025-09-05 17:16:00,2025-09-05 17:16:00,proxy_page_publish_time,0.55
ZZM_CN_0143de7bfa88_CHUNK_3_97f2d4dc9d,ZZM_CN_0143de7bfa88,CHUNK_3,zzmetro.cn,zzmetro_cn_news,2025-09-05,发布时间: 2025-09-05 17:16,0,normal_info,0.0,0,unassigned,unassigned,1,2025-09-05 17:16:00,page_publish_time,0.85,2025-09-05 17:00:00,2025-09-05 17:16:00,2025-09-05 17:16:00,proxy_page_publish_time,0.55
ZZM_CN_4ab3aa8cdeb9_TITLE_1174af2896,ZZM_CN_4ab3aa8cdeb9,TITLE,zzmetro.cn,zzmetro_cn_news,2025-06-21,七一前夕 郑州国资国企举行“行走的思政课”劳模宣讲会 七一前夕，郑州国资国企举行“行走的思政课”劳模宣讲会 。... 七一前夕，郑州国资国企举行“行走的思政课”劳模宣讲会 。,0,normal_info,0.0,0,unassigned,unassigned,1,2025-06-21 09:00:00,publish_date_only,0.35,2025-06-21 09:00:00,2025-06-21 20:30:00,2025-06-21 20:30:00,proxy_page_publish_time,0.55
ZZM_CN_4ab3aa8cdeb9_TITLE_LEAD_42fe33156f,ZZM_CN_4ab3aa8cdeb9,TITLE_LEAD,zzmetro.cn,zzmetro_cn_news,2025-06-21,"七一前夕 郑州国资国企举行“行走的思政课”劳模宣讲会 七一前夕，郑州国资国企举行“行走的思政课”劳模宣讲会 。... 七一前夕，郑州国资国企举行“行走的思政课”劳模宣讲会 。
七一前夕 郑州国资国企举行“行走的思政课”劳模宣讲会
阅读次数: 3544
发布时间: 2025-06-21 20:30",0,normal_info,0.0,0,unassigned,unassigned,1,2025-06-21 20:30:00,page_publish_time,0.85,2025-06-21 20:00:00,2025-06-21 20:30:00,2025-06-21 20:30:00,proxy_page_publish_time,0.55
ZZM_CN_4ab3aa8cdeb9_CHUNK_1_4ad845410d,ZZM_CN_4ab3aa8cdeb9,CHUNK_1,zzmetro.cn,zzmetro_cn_news,2025-06-21,七一前夕 郑州国资国企举行“行走的思政课”劳模宣讲会,0,normal_info,0.0,0,unassigned,unassigned,1,2025-06-21 09:00:00,publish_date_only,0.35,2025-06-21 09:00:00,2025-06-21 20:30:00,2025-06-21 20:30:00,proxy_page_publish_time,0.55
ZZM_CN_4ab3aa8cdeb9_CHUNK_3_91aa0948d6,ZZM_CN_4ab3aa8cdeb9,CHUNK_3,zzmetro.cn,zzmetro_cn_news,2025-06-21,发布时间: 2025-06-21 20:30,0,normal_info,0.0,0,unassigned,unassigned,1,2025-06-21 20:30:00,page_publish_time,0.85,2025-06-21 20:00:00,2025-06-21 20:30:00,2025-06-21 20:30:00,proxy_page_publish_time,0.55
ZZM_CN_f07d895515e4_TITLE_9d96adf26a,ZZM_CN_f07d895515e4,TITLE,zzmetro.cn,zzmetro_cn_news,2025-06-10,奋笔逐光，青春启航！ 郑州地铁爱心助考、“晶”心为您，与梦想一同出发！ 为期三天的高考圆满落下帷幕，广大考生顺利完成了这场人生的重要答卷。6月7日～9日高考期间，郑州地铁“爱心助考·‘晶’心为您”主题活动温暖相伴，全力守护广大考生逐梦之路。... 为期三天的高考圆满落下帷幕，广大考生顺利完成了这场人生的重要答卷。6月7日～9日高考期间，郑州地铁“爱心助考·‘晶’心为您”主题活动温暖相伴，全力守护广,0,normal_info,0.0,0,unassigned,unassigned,1,2025-06-10 09:00:00,publish_date_only,0.35,2025-06-10 09:00:00,2025-06-10 16:38:00,2025-06-10 16:38:00,proxy_page_publish_time,0.55
ZZM_CN_f07d895515e4_TITLE_LEAD_df40d6a552,ZZM_CN_f07d895515e4,TITLE_LEAD,zzmetro.cn,zzmetro_cn_news,2025-06-10,"奋笔逐光，青春启航！ 郑州地铁爱心助考、“晶”心为您，与梦想一同出发！ 为期三天的高考圆满落下帷幕，广大考生顺利完成了这场人生的重要答卷。6月7日～9日高考期间，郑州地铁“爱心助考·‘晶’心为您”主题活动温暖相伴，全力守护广大考生逐梦之路。... 为期三天的高考圆满落下帷幕，广大考生顺利完成了这场人生的重要答卷。6月7日～9日高考期间，郑州地铁“爱心助考·‘晶’心为您”主题活动温暖相伴，全力守护广
奋笔逐光，青春启航！ 郑州地铁爱心助考、“晶”心为您，与梦想一同出发！
阅读次数: 3530
发布时间: 2025-06-10 16:38",0,normal_info,0.0,0,unassigned,unassigned,1,2025-06-10 16:38:00,page_publish_time,0.85,2025-06-10 16:00:00,2025-06-10 16:38:00,2025-06-10 16:38:00,proxy_page_publish_time,0.55
ZZM_CN_f07d895515e4_CHUNK_1_20e258dad0,ZZM_CN_f07d895515e4,CHUNK_1,zzmetro.cn,zzmetro_cn_news,2025-06-10,奋笔逐光，青春启航！ 郑州地铁爱心助考、“晶”心为您，与梦想一同出发！,0,normal_info,0.0,0,unassigned,unassigned,1,2025-06-10 09:00:00,publish_date_only,0.35,2025-06-10 09:00:00,2025-06-10 16:38:00,2025-06-10 16:38:00,proxy_page_publish_time,0.55
ZZM_CN_f07d895515e4_CHUNK_3_6131272659,ZZM_CN_f07d895515e4,CHUNK_3,zzmetro.cn,zzmetro_cn_news,2025-06-10,发布时间: 2025-06-10 16:38,0,normal_info,0.0,0,unassigned,unassigned,1,2025-06-10 16:38:00,page_publish_time,0.85,2025-06-10 16:00:00,2025-06-10 16:38:00,2025-06-10 16:38:00,proxy_page_publish_time,0.55
ZZM_CN_5c820bb30a19_TITLE_fb7859f3d5,ZZM_CN_5c820bb30a19,TITLE,zzmetro.cn,zzmetro_cn_news,2025-05-27,双网融合绘就绿色出行新图景—交发集团、公交集团联合推进基层党建“书记项目” 双网融合绘就绿色出行新图景—郑州交发集团党委、公交集团党委联合推进基层党建“书记项目”。... 双网融合绘就绿色出行新图景—郑州交发集团党委、公交集团党委联合推进基层党建“书记项目”。,0,normal_info,0.2,0,unassigned,unassigned,0,2025-05-27 09:00:00,publish_date_only,0.35,2025-05-27 09:00:00,2025-05-27 16:06:00,2025-05-27 16:06:00,proxy_page_publish_time,0.55
ZZM_CN_5c820bb30a19_TITLE_LEAD_5219d864d1,ZZM_CN_5c820bb30a19,TITLE_LEAD,zzmetro.cn,zzmetro_cn_news,2025-05-27,"双网融合绘就绿色出行新图景—交发集团、公交集团联合推进基层党建“书记项目” 双网融合绘就绿色出行新图景—郑州交发集团党委、公交集团党委联合推进基层党建“书记项目”。... 双网融合绘就绿色出行新图景—郑州交发集团党委、公交集团党委联合推进基层党建“书记项目”。
双网融合绘就绿色出行新图景—交发集团、公交集团联合推进基层党建“书记项目”
阅读次数: 4303
发布时间: 2025-05-27 16:06",0,normal_info,0.2,0,unassigned,unassigned,0,2025-05-27 16:06:00,page_publish_time,0.85,2025-05-27 16:00:00,2025-05-27 16:06:00,2025-05-27 16:06:00,proxy_page_publish_time,0.55
ZZM_CN_5c820bb30a19_CHUNK_1_f055aa2036,ZZM_CN_5c820bb30a19,CHUNK_1,zzmetro.cn,zzmetro_cn_news,2025-05-27,双网融合绘就绿色出行新图景—交发集团、公交集团联合推进基层党建“书记项目”,0,normal_info,0.2,0,unassigned,unassigned,0,2025-05-27 09:00:00,publish_date_only,0.35,2025-05-27 09:00:00,2025-05-27 16:06:00,2025-05-27 16:06:00,proxy_page_publish_time,0.55
ZZM_CN_5c820bb30a19_CHUNK_3_a0c8c14afd,ZZM_CN_5c820bb30a19,CHUNK_3,zzmetro.cn,zzmetro_cn_news,2025-05-27,发布时间: 2025-05-27 16:06,0,normal_info,0.0,0,unassigned,unassigned,1,2025-05-27 16:06:00,page_publish_time,0.85,2025-05-27 16:00:00,2025-05-27 16:06:00,2025-05-27 16:06:00,proxy_page_publish_time,0.55
ZZM_CN_f5d3b55fbca5_TITLE_7002cc4021,ZZM_CN_f5d3b55fbca5,TITLE,zzmetro.cn,zzmetro_cn_news,2025-03-24,春风有信 花开有期 乘地铁赴一场春日之约 春风有信 花开有期 乘地铁赴一场春日之约... 春风有信 花开有期 乘地铁赴一场春日之约,0,normal_info,0.0,0,unassigned,unassigned,1,2025-03-24 09:00:00,publish_date_only,0.35,2025-03-24 09:00:00,2025-03-24 13:44:00,2025-03-24 13:44:00,proxy_page_publish_time,0.55
ZZM_CN_f5d3b55fbca5_TITLE_LEAD_ee23f96b23,ZZM_CN_f5d3b55fbca5,TITLE_LEAD,zzmetro.cn,zzmetro_cn_news,2025-03-24,"春风有信 花开有期 乘地铁赴一场春日之约 春风有信 花开有期 乘地铁赴一场春日之约... 春风有信 花开有期 乘地铁赴一场春日之约
春风有信 花开有期 乘地铁赴一场春日之约
阅读次数: 6793
发布时间: 2025-03-24 13:44",0,normal_info,0.0,0,unassigned,unassigned,1,2025-03-24 13:44:00,page_publish_time,0.85,2025-03-24 13:00:00,2025-03-24 13:44:00,2025-03-24 13:44:00,proxy_page_publish_time,0.55
ZZM_CN_f5d3b55fbca5_CHUNK_1_0eafe0a229,ZZM_CN_f5d3b55fbca5,CHUNK_1,zzmetro.cn,zzmetro_cn_news,2025-03-24,春风有信 花开有期 乘地铁赴一场春日之约,0,normal_info,0.0,0,unassigned,unassigned,1,2025-03-24 09:00:00,publish_date_only,0.35,2025-03-24 09:00:00,2025-03-24 13:44:00,2025-03-24 13:44:00,proxy_page_publish_time,0.55
ZZM_CN_f5d3b55fbca5_CHUNK_3_ec4bd675c8,ZZM_CN_f5d3b55fbca5,CHUNK_3,zzmetro.cn,zzmetro_cn_news,2025-03-24,发布时间: 2025-03-24 13:44,0,normal_info,0.0,0,unassigned,unassigned,1,2025-03-24 13:44:00,page_publish_time,0.85,2025-03-24 13:00:00,2025-03-24 13:44:00,2025-03-24 13:44:00,proxy_page_publish_time,0.55
ZZM_CN_c8230643b8f5_TITLE_5196e66ed9,ZZM_CN_c8230643b8f5,TITLE,zzmetro.cn,zzmetro_cn_news,2025-03-14,交通安全“救”在身边   “红十字应急救护一体机”捐赠仪式在郑州地铁举行 3月12日上午，中国红十字基金会“滴滴应急救援”项目捐赠仪式于郑州地铁高铁公园站举行。... 3月12日上午，中国红十字基金会“滴滴应急救援”项目捐赠仪式于郑州地铁高铁公园站举行。,2,safety_emergency,0.4,3,unassigned,unassigned,0,2025-03-14 09:00:00,publish_date_only,0.35,2025-03-14 09:00:00,2025-03-14 13:39:00,2025-03-14 13:39:00,proxy_page_publish_time,0.55
ZZM_CN_c8230643b8f5_TITLE_LEAD_ca2d9fb753,ZZM_CN_c8230643b8f5,TITLE_LEAD,zzmetro.cn,zzmetro_cn_news,2025-03-14,"交通安全“救”在身边   “红十字应急救护一体机”捐赠仪式在郑州地铁举行 3月12日上午，中国红十字基金会“滴滴应急救援”项目捐赠仪式于郑州地铁高铁公园站举行。... 3月12日上午，中国红十字基金会“滴滴应急救援”项目捐赠仪式于郑州地铁高铁公园站举行。
交通安全“救”在身边   “红十字应急救护一体机”捐赠仪式在郑州地铁举行
阅读次数: 6420
发布时间: 2025-03-14 13:39",2,safety_emergency,0.4,3,unassigned,unassigned,0,2025-03-14 13:39:00,page_publish_time,0.85,2025-03-14 13:00:00,2025-03-14 13:39:00,2025-03-14 13:39:00,proxy_page_publish_time,0.55
ZZM_CN_c8230643b8f5_CHUNK_1_090e2936a8,ZZM_CN_c8230643b8f5,CHUNK_1,zzmetro.cn,zzmetro_cn_news,2025-03-14,交通安全“救”在身边   “红十字应急救护一体机”捐赠仪式在郑州地铁举行,2,safety_emergency,0.2,2,unassigned,unassigned,0,2025-03-14 09:00:00,publish_date_only,0.35,2025-03-14 09:00:00,2025-03-14 13:39:00,2025-03-14 13:39:00,proxy_page_publish_time,0.55
ZZM_CN_c8230643b8f5_CHUNK_3_e47532dd9d,ZZM_CN_c8230643b8f5,CHUNK_3,zzmetro.cn,zzmetro_cn_news,2025-03-14,发布时间: 2025-03-14 13:39,0,normal_info,0.0,0,unassigned,unassigned,1,2025-03-14 13:39:00,page_publish_time,0.85,2025-03-14 13:00:00,2025-03-14 13:39:00,2025-03-14 13:39:00,proxy_page_publish_time,0.55
ZZM_CN_515a842b946f_TITLE_2abf6a8327,ZZM_CN_515a842b946f,TITLE,zzmetro.cn,zzmetro_cn_news,2025-01-21,豫港合作 蝶变“豫盒”地铁商铺全新亮相 1月21日上午9时，地铁2号线关虎屯站、东风路站全新的地铁商铺热闹开业。郑州交通发展投资集团有限公司（以下简称郑州交发集团）引入香港铁路有限公司（以下简称港铁公司）运营地铁车站商业的理念和成功经验，合资成立郑州郑港商业发展有限公司，倾力打造的地铁商铺以“豫盒”形象同市民见面。... 1月21日上午9时，地铁2号线关虎屯站、东风路站全新的地铁商铺热闹开业。郑州,0,normal_info,0.0,0,unassigned,unassigned,1,2025-01-21 09:00:00,publish_date_only,0.35,2025-01-21 09:00:00,2025-01-21 15:18:00,2025-01-21 15:18:00,proxy_page_publish_time,0.55
ZZM_CN_515a842b946f_TITLE_LEAD_61bdb1e8dc,ZZM_CN_515a842b946f,TITLE_LEAD,zzmetro.cn,zzmetro_cn_news,2025-01-21,"豫港合作 蝶变“豫盒”地铁商铺全新亮相 1月21日上午9时，地铁2号线关虎屯站、东风路站全新的地铁商铺热闹开业。郑州交通发展投资集团有限公司（以下简称郑州交发集团）引入香港铁路有限公司（以下简称港铁公司）运营地铁车站商业的理念和成功经验，合资成立郑州郑港商业发展有限公司，倾力打造的地铁商铺以“豫盒”形象同市民见面。... 1月21日上午9时，地铁2号线关虎屯站、东风路站全新的地铁商铺热闹开业。郑州
豫港合作 蝶变“豫盒”地铁商铺全新亮相
阅读次数: 9169
发布时间: 2025-01-21 15:18",0,normal_info,0.0,0,unassigned,unassigned,1,2025-01-21 15:18:00,page_publish_time,0.85,2025-01-21 15:00:00,2025-01-21 15:18:00,2025-01-21 15:18:00,proxy_page_publish_time,0.55
ZZM_CN_515a842b946f_CHUNK_3_1e3b107206,ZZM_CN_515a842b946f,CHUNK_3,zzmetro.cn,zzmetro_cn_news,2025-01-21,发布时间: 2025-01-21 15:18,0,normal_info,0.0,0,unassigned,unassigned,1,2025-01-21 15:18:00,page_publish_time,0.85,2025-01-21 15:00:00,2025-01-21 15:18:00,2025-01-21 15:18:00,proxy_page_publish_time,0.55
